시도명,의석수,선거구,관할구역,변동,인구수
충청북도,8,청주시 서원구,청주시 서원구 전 지역,NA,200969
충청북도,8,청주시 흥덕구,청주시 흥덕구 전 지역,NA,263729
충청북도,8,청주시 청원구,청주시 청원구 전 지역,NA,194904
충청북도,8,충주시,충주시 전 지역,NA,210564
충청북도,8,제천시·단양군,"제천시 전 지역, 단양군 전 지역",NA,163583
충청북도,8,보은군·옥천군·영동군·괴산군,"보은군 전 지역, 옥천군 전 지역, 영동군 전 지역, 괴산군 전 지역",NA,169896
충청북도,8,증평군·진천군·음성군,"증평군 전 지역, 진천군 전 지역, 음성군 전 지역",NA,213552
충청남도,11,천안시 갑,"천안시 서북구 성정1동, 성정2동 + 동남구 원성1동, 원성2동, 중앙동, 문성동, 봉명동, 일봉동, 신안동, 목천읍, 성남면, 수신면, 병천면, 북면, 동면",NA,191876
충청남도,11,천안시 을,"천안시 서북구 부성1동, 부성2동, 불당동, 백석동, 성환읍, 성거읍, 직산읍, 입장면",NA,280172
충청남도,11,천안시 병,"천안시 서북구 쌍용1동, 쌍용2동, 쌍용3동  + 동남구 신방동, 청룡동, 풍세면, 광덕면",NA,182373
충청남도,11,공주시·부여군·청양군,"공주시 전 지역, 부여군 전 지역, 청양군 전 지역",NA,203696
충청남도,11,보령시·서천군,"보령시 전 지역, 서천군 전 지역",NA,153396
충청남도,11,아산시 갑,"아산시 온양1동, 온양2동, 온양3동, 온양4동, 온양5동, 온양6동, 선장면, 도고면, 신창면",NA,155082
충청남도,11,아산시 을,"아산시 염치읍, 배방읍, 송악면, 탕정면, 음봉면, 둔포면, 영인면, 인주면",NA,158690
충청남도,11,서산시·태안군,"서산시 전 지역, 태안군 전 지역",NA,237024
충청남도,11,논산시·계룡시·금산군,"논산시 전 지역, 계룡시 전 지역, 금산군 전 지역",NA,212894
충청남도,11,당진시,당진시 전 지역,NA,166381
충청남도,11,홍성군·예산군,"홍성군 전 지역, 예산군 전 지역",NA,179079
전라북도,10,전주시 갑,"전주시 덕진구 인후3동 + 완산구 중앙동, 풍남동, 노송동, 완산동, 동서학동, 서서학동, 평화1동, 평화2동, 중화산1동, 중화산2동",,171863
전라북도,10,전주시 을,"전주시 완산구 효자1동, 효자2동, 효자3동, 효자4동, 효자5동, 삼천1동, 삼천2동, 삼천3동, 서신동",[14],199526
전라북도,10,전주시 병,"전주시 덕진구 우아1동, 우아2동, 인후1동, 인후2동, 송천1동, 송천2동, 금암1동, 금암2동, 진북동, 덕진동, 팔복동, 호성동, 조촌동, 여의동, 혁신동",,284058
전라북도,10,군산시,군산시 전 지역,,268750
전라북도,10,익산시 갑,"익산시 중앙동, 평화동, 남중동, 모현동, 송학동, 인화동, 마동, 신동, 함열읍, 오산면, 망성면, 황등면, 함라면, 웅포면, 성당면, 용안면, 용동면",경계조정,136377
전라북도,10,익산시 을,"익산시 동산동, 어양동, 팔봉동, 삼성동, 영등1동, 영등2동, 낭산면, 여산면, 금마면, 왕궁면, 춘포면, 삼기면",경계조정,149351
전라북도,10,정읍시·고창군,"정읍시 전 지역, 고창군 전 지역",,165272
전라북도,10,남원시·임실군·순창군,"남원시 전 지역, 임실군 전 지역, 순창군 전 지역",,137679
전라북도,10,김제시·부안군,"김제시 전 지역, 부안군 전 지역",,136493
전라북도,10,완주군·진안군·무주군·장수군,"완주군 전 지역, 진안군 전 지역, 무주군 전 지역, 장수군 전 지역",,164355
전라남도,10,목포시,목포시 전 지역,,229018
